fec_id,state_abbr,first_name,last_name,name,party,inc,tot_rec
H6CA24295,CA,khatchik,achadjian,khatchik achadjian,Republican,Open,893210.3
H6CA24329,CA,matt,kokkonen,matt kokkonen,Republican,Open,220343.98
H4CA24183,CA,steve,isakson,steve isakson,Other,Open,52593.59
H4CA25107,CA,evan,thomas,evan thomas,Democrat,Challenger,10607.1
H6CA25151,CA,lou,vince,lou vince,Democrat,Challenger,93719.65
H6CA25169,CA,maria,gutzeit,maria gutzeit,Democrat,Challenger,72845.44
H6CA25177,CA,bryan,caforio,bryan caforio,Democrat,Challenger,1706520.29
H4CA25123,CA,steve,knight,steve knight,Republican,Incumbent,1712195.09
H6CA25193,CA,jeffrey,bomberger,jeffrey bomberger,Independent,Challenger,0.0
H2CA00120,CA,julia,brownley,julia brownley,Democrat,Incumbent,3397538.71
H4CA26139,CA,rafael,dagnesses,rafael dagnesses,Republican,Challenger,431583.71
H0CA32101,CA,judy,chu,judy chu,Democrat,Incumbent,1185705.39
H2CA27198,CA,jack,orswell,jack orswell,Republican,Challenger,201166.01
H6CA27280,CA,ramon,barajas,ramon barajas,Republican,Challenger,0.0
H0CA27085,CA,adam,schiff,adam schiff,Democrat,Incumbent,975256.29
H2CA28113,CA,tony,cardenas,tony cardenas,Democrat,Incumbent,1705480.77
H6CA29203,CA,benito,bernal,benito bernal,Democrat,Challenger,15502.0
H6CA29211,CA,joseph,shammas,joseph shammas,Democrat,Challenger,43498.27
H6CA29229,CA,richard,alarcon,richard alarcon,Democrat,Challenger,70834.33
H6CA29237,CA,david,guzman,david guzman,Democrat,Challenger,8303.25
H4CA30123,CA,aejaz,rab,aejaz rab,Democrat,Challenger,143051.0
H6CA24113,CA,brad,sherman,brad sherman,Democrat,Incumbent,1663502.31
H6CA30177,CA,patrea,patrick,patrea patrick,Democrat,Challenger,0.0
H2CA31125,CA,pete,aguilar,pete aguilar,Democrat,Incumbent,2954535.72
H4CA31071,CA,paul,chabot,paul chabot,Republican,Challenger,698718.69
H6CA31134,CA,sean,flynn,sean flynn,Republican,Challenger,1000221.25
H6CA31142,CA,joe,baca,joe baca,Republican,Challenger,34598.0
H6CA32132,CA,roger,hernandez,roger hernandez,Democrat,Challenger,187642.23
H8CA34068,CA,grace,napolitano,grace napolitano,Democrat,Incumbent,748105.98
H4CA33119,CA,ted,lieu,ted lieu,Democrat,Incumbent,2066220.28
H6CA33106,CA,kenneth,wright,kenneth wright,Republican,Challenger,77202.3
H2CA30143,CA,xavier,becerra,xavier becerra,Democrat,Incumbent,1867773.33
H6CA34229,CA,adrienne,edwards,adrienne edwards,Democrat,Challenger,20.0
H4CA35031,CA,norma,torres,norma torres,Democrat,Incumbent,608052.9
H6CA35127,CA,tyler,fischella,tyler fischella,Republican,Challenger,3747.65
H2CA36439,CA,raul,ruiz,raul ruiz,Democrat,Incumbent,3219813.81
H6CA36158,CA,kirk,thompson,kirk thompson,Republican,Challenger,0.0
H6CA36174,CA,dwight,kealy,dwight kealy,Republican,Challenger,297657.28
H6CA36182,CA,jeffrey,stone,jeffrey stone,Republican,Challenger,362037.43
H0CA33117,CA,karen,bass,karen bass,Democrat,Incumbent,648452.4
