state_abbr,state,district,fec_id,first_name,last_name,name,party,votes,vote_share,winner
CA,California,17,H0CA15148,mike,honda,mike honda,Democrat,90924,0.389910460050088,0
CA,California,18,H8CA12098,anna,eshoo,anna eshoo,Democrat,230460,0.71145000463063,1
CA,California,18,H4CA18094,richard,fox,richard fox,Republican,93470,0.28854999536937,0
CA,California,19,H4CA16049,zoe,lofgren,zoe lofgren,Democrat,181802,0.739444324684886,1
CA,California,19,H6CA19121,burt,lancaster,burt lancaster,Republican,64061,0.260555675315115,0
CA,California,20,H6CA20152,jimmy,panetta,jimmy panetta,Democrat,180980,0.707530757532517,1
CA,California,20,H6CA20145,casey,lucius,casey lucius,Republican,74811,0.292469242467483,0
CA,California,21,H2CA20094,david,valadao,david valadao,Republican,75126,0.567382635490303,1
CA,California,21,H6CA21218,emilio,huerta,emilio huerta,Democrat,57282,0.432617364509697,0
CA,California,22,H8CA20059,devin,nunes,devin nunes,Republican,158755,0.675650945243142,1
CA,California,22,H6CA22182,louie,campos,louie campos,Democrat,76211,0.324349054756858,0
CA,California,23,H6CA22125,kevin,mccarthy,kevin mccarthy,Republican,167116,0.69175110934499,1
CA,California,23,H6CA23206,wendy,reed,wendy reed,Democrat,74468,0.30824889065501,0
CA,California,24,H6CA24303,salud,carbajal,salud carbajal,Democrat,166034,0.534190866563282,1
CA,California,24,H4CA24142,justin,fareed,justin fareed,Republican,144780,0.465809133436718,0
CA,California,25,H4CA25123,steve,knight,steve knight,Republican,138755,0.531300615329241,1
CA,California,25,H6CA25177,bryan,caforio,bryan caforio,Democrat,122406,0.468699384670759,0
CA,California,26,H2CA00120,julia,brownley,julia brownley,Democrat,169248,0.603795124631208,1
CA,California,26,H4CA26139,rafael,dagnesses,rafael dagnesses,Republican,111059,0.396204875368792,0
CA,California,27,H0CA32101,judy,chu,judy chu,Democrat,168977,0.674203613265664,1
CA,California,27,H2CA27198,jack,orswell,jack orswell,Republican,81655,0.325796386734336,0
CA,California,28,H0CA27085,adam,schiff,adam schiff,Democrat,210883,0.779866794374448,1
CA,California,28,H6CA28171,lenore,solis,lenore solis,Republican,59526,0.220133205625552,0
CA,California,29,H2CA28113,tony,cardenas,tony cardenas,Democrat,128407,0.747317022069094,1
CA,California,29,H6CA29229,richard,alarcon,richard alarcon,Democrat,43417,0.252682977930906,0
CA,California,30,H6CA24113,brad,sherman,brad sherman,Democrat,205279,0.726383915301977,1
CA,California,30,H6CA30185,mark,reed,mark reed,Republican,77325,0.273616084698023,0
CA,California,31,H2CA31125,pete,aguilar,pete aguilar,Democrat,121070,0.560675385299348,1
CA,California,31,H4CA31071,paul,chabot,paul chabot,Republican,94866,0.439324614700652,0
CA,California,32,H8CA34068,grace,napolitano,grace napolitano,Democrat,114926,0.615743171565423,1
CA,California,32,H6CA32132,roger,hernndez,roger hernndez,Democrat,71720,0.384256828434577,0
CA,California,33,H4CA33119,ted,lieu,ted lieu,Democrat,219397,0.664398474951472,1
CA,California,33,H6CA33106,kenneth,wright,kenneth wright,Republican,110822,0.335601525048528,0
CA,California,34,H2CA30143,xavier,becerra,xavier becerra,Democrat,122842,0.77183392394883,1
CA,California,34,H6CA34229,adrienne,edwards,adrienne edwards,Democrat,36314,0.22816607605117,0
CA,California,35,H4CA35031,norma,torres,norma torres,Democrat,124044,0.723909123271842,1
CA,California,35,H6CA35127,tyler,fischella,tyler fischella,Republican,47309,0.276090876728158,0
CA,California,36,H2CA36439,raul,ruiz,raul ruiz,Democrat,144348,0.620539341492668,1
CA,California,36,H6CA36182,jeff,stone,jeff stone,Republican,88269,0.379460658507332,0
CA,California,37,H0CA33117,karen,bass,karen bass,Democrat,192490,0.811263023028423,1
CA,California,37,H6CA37313,chris,wiggins,chris wiggins,Democrat,44782,0.188736976971577,0
CA,California,38,H2CA39078,linda,snchez,linda snchez,Democrat,163590,0.704782994563016,1
CA,California,38,H4CA31105,ryan,downing,ryan downing,Republican,68524,0.295217005436984,0
CA,California,39,H6CA39020,ed,royce,ed royce,Republican,150777,0.572304293696101,1
CA,California,39,H6CA39137,brett,murdock,brett murdock,Democrat,112679,0.427695706303899,0
CA,California,40,H2CA33048,lucille,roybalallard,lucille roybalallard,Democrat,106554,0.713704896950374,1
CA,California,40,H6CA40291,roman,gonzalez,roman gonzalez,Other,42743,0.286295103049626,0
CA,California,41,H2CA43245,mark,takano,mark takano,Democrat,128164,0.649513741429028,1
CA,California,41,H6CA41182,doug,shepherd,doug shepherd,Republican,69159,0.350486258570973,0
CA,California,42,H2CA37023,ken,calvert,ken calvert,Republican,149547,0.588221180320647,1
CA,California,42,H4CA42086,tim,sheridan,tim sheridan,Democrat,104689,0.411778819679353,0
CA,California,43,H4CA23011,maxine,waters,maxine waters,Democrat,167017,0.760842034293628,1
CA,California,43,H6CA44145,omar,navarro,omar navarro,Republican,52499,0.239157965706372,0
CA,California,44,H6CA44103,nanette,barragn,nanette barragn,Democrat,93124,0.521957480676857,1
CA,California,44,H2CA35100,isadore,hall,isadore hall,Democrat,85289,0.478042519323144,0
CA,California,45,H4CA45097,mimi,walters,mimi walters,Republican,182618,0.585597516746887,1
CA,California,45,H2CA48095,ron,varasteh,ron varasteh,Democrat,129231,0.414402483253113,0
CA,California,46,H6CA46116,lou,correa,lou correa,Democrat,115248,0.700199886993979,1
CA,California,46,H6CA46140,bao,nguyen,bao nguyen,Democrat,49345,0.299800113006021,0
CA,California,47,H2CA00104,alan,lowenthal,alan lowenthal,Democrat,154759,0.637214453942059,1
CA,California,47,H4CA47069,andy,whallon,andy whallon,Republican,88109,0.362785546057941,0
CA,California,48,H8CA42061,dana,rohrabacher,dana rohrabacher,Republican,178701,0.583197352618662,1
CA,California,48,H6CA48237,suzanne,savary,suzanne savary,Democrat,127715,0.416802647381338,0
CA,California,49,H0CA48024,darrell,issa,darrell issa,Republican,155888,0.50261320952427,1
CA,California,49,H6CA49102,doug,applegate,doug applegate,Democrat,154267,0.49738679047573,0
CA,California,50,H8CA52052,duncan,hunter,duncan hunter,Republican,179937,0.634512647090975,1
CA,California,50,H6CA50258,patrick,malloy,patrick malloy,Democrat,103646,0.365487352909025,0
CA,California,51,H2CA50026,juan,vargas,juan vargas,Democrat,145162,0.72754154888635,1
CA,California,51,H6CA51066,juan,hidalgo,juan hidalgo,Republican,54362,0.27245845111365,0
CA,California,52,H2CA52089,scott,peters,scott peters,Democrat,181253,0.565256848460656,1
CA,California,52,H6CA52130,denise,gitsham,denise gitsham,Republican,139403,0.434743151539344,0
CA,California,53,H0CA49055,susan,davis,susan davis,Democrat,198988,0.670092538962001,1
CA,California,53,H6CA53054,james,veltmeyer,james veltmeyer,Republican,97968,0.329907461037999,0
CO,Colorado,1,H6CO01141,diana,degette,diana degette,Democrat,257254,0.678705980434576,1
CO,Colorado,1,H6CO01208,charles,stockham,charles stockham,Republican,105030,0.277097689929189,0
CO,Colorado,1,H6CO01216,darrell,dinges,darrell dinges,Other,16752,0.0441963296362351,0
CO,Colorado,2,H8CO02137,jared,polis,jared polis,Democrat,260175,0.568922311244839,1
CO,Colorado,2,H6CO02149,nicholas,morse,nicholas morse,Republican,170001,0.371739643831782,0
CO,Colorado,2,H6CO02156,richard,longstreth,richard longstreth,Other,27136,0.0593380449233784,0
CO,Colorado,3,H6CO03139,scott,tipton,scott tipton,Republican,204220,0.545988765817286,1
CO,Colorado,3,H6CO03170,gail,schwartz,gail schwartz,Democrat,150914,0.403473453161051,0
CO,Colorado,3,H6CO03196,kent,gaylon,kent gaylon,Other,18903,0.0505377810216636,0
CO,Colorado,4,H4CO04090,ken,buck,ken buck,Republican,248230,0.63545253241517,1
CO,Colorado,4,H6CO04160,bob,seay,bob seay,Democrat,123642,0.31651541720532,0
CO,Colorado,4,H6CO04178,bruce,griffith,bruce griffith,Other,18761,0.0480269305105789,0
CO,Colorado,4,H6CO04186,donald,howbert,donald howbert,Other,2,5.11986893135536e-06,0
CO,Colorado,5,H6CO05159,doug,lamborn,doug lamborn,Republican,225445,0.622580181931657,1
CO,Colorado,5,H6CO05233,misty,plowright,misty plowright,Democrat,111676,0.308400117090198,0
CO,Colorado,5,H6CO05266,mike,mcredmond,mike mcredmond,Other,24872,0.0686855520637147,0
CO,Colorado,5,H6CO05274,curtis,imrie,curtis imrie,Other,121,0.0003341489144302,0
CO,Colorado,6,H8CO06138,mike,coffman,mike coffman,Republican,191626,0.509079026717709,1
CO,Colorado,6,H6CO06058,morgan,carroll,morgan carroll,Democrat,160372,0.426048770379659,0
CO,Colorado,6,H2CO02122,norm,olsen,norm olsen,Other,18778,0.0498861634835834,0
CO,Colorado,6,H6CO06082,robert,worthey,robert worthey,Other,5641,0.0149860394190486,0
CO,Colorado,7,H6CO07023,ed,perlmutter,ed perlmutter,Democrat,199758,0.551802436396785,1
CO,Colorado,7,H6CO07106,george,athanasopoulos,george athanasopoulos,Republican,144066,0.397961382282257,0
