1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
167,AZ,Arizona,8,n/a,,,,,District Votes:,,83751,,,,298971,,,,,,,
168,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
169,AZ,Arizona,9,H2AZ09019 ,(I),Kyrsten,Sinema,"Sinema, Kyrsten",,D,38948,1,,,169055,0.609191840205833,,,,,W,
170,AZ,Arizona,9,n/a,,,,,Party Votes:,D,38948,,,,,,,,,,,
171,AZ,Arizona,9,H6AZ09010,,Dave,Giles,"Giles, Dave",,R,25963,0.606895745675549,,,108350,0.390440601498341,,,,,,
172,AZ,Arizona,9,H6AZ09036 ,,John,Agra,"Agra, John",,R,16817,0.393104254324451,,,,,,,,,,
173,AZ,Arizona,9,n/a,,,,,Party Votes:,R,42780,,,,,,,,,,,
174,AZ,Arizona,9,H6AZ09051,,Mike,Shipley,"Shipley, Mike",,W(LIB),210,1,,,,,,,,,,
175,AZ,Arizona,9,n/a,,,,,Party Votes:,LIB,210,,,,,,,,,,,
176,AZ,Arizona,9,H6AZ09069,,Cary,Dolego,"Dolego, Cary",,W,,,,,56,0.000201796711434306,,,,,,
177,AZ,Arizona,9,H6AZ09077,,Axel,Bello,"Bello, Axel",,W,,,,,46,0.000165761584392466,,,,,,
178,AZ,Arizona,9,n/a,,,,,District Votes:,,81938,,,,277507,,,,,,,
179,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
180,AZ,Arizona,H,n/a,,,,,Total State Votes:,,823608,,,,2412064,,,,,,,
181,AZ,Arizona,,n/a,,,,,,,,,,,,,,,,,,
182,,,,n/a,,,,,,,,,,,,,,,,,,
